Capacidade do conteiner: 50000

Objeto	  Peso	 Valor
     1	  1530	 22038
     2	  1690	  3049
     3	  1964	  4256
     4	   323	  3815
     5	  2814	  1340
     6	   586	  2128
     7	  2808	  2329
     8	  2064	 10421
     9	  1825	    63
    10	  1451	 11650
    11	  1835	 10286
    12	  3427	  1946
    13	  2012	  3881
    14	  4080	 23132
    15	  4624	 10911
    16	  4047	  8898
    17	  4122	 13044
    18	   172	  8542
    19	  1201	   432
    20	  3495	  3057

População criada
Individuo  1 : 1 1 1 1 0 1 1 1 1 1 0 0 0 1 0 1 1 1 0 0 	 Individuo válido
Individuo  2 : 0 1 1 0 0 0 1 0 0 1 0 1 0 1 0 0 0 1 1 1 	 Individuo válido
Individuo  3 : 0 0 1 1 1 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 	 Individuo válido
Individuo  4 : 1 1 1 1 0 1 0 0 0 1 0 0 1 1 1 1 1 1 1 1 	 Individuo válido
Individuo  5 : 0 0 0 0 0 1 0 0 1 1 0 0 0 1 1 0 0 1 1 0 	 Individuo válido
Individuo  6 : 1 1 1 0 0 0 1 1 0 1 1 0 1 1 0 0 0 0 0 1 	 Individuo válido
Individuo  7 : 0 1 1 0 0 0 1 1 0 0 1 1 1 0 1 1 1 1 1 1 	 Individuo válido
Individuo  8 : 0 0 1 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1 0 1 	 Individuo válido
Individuo  9 : 1 0 0 0 0 0 1 1 1 0 0 1 0 1 0 1 0 0 0 0 	 Individuo válido
Individuo 10 : 0 0 1 1 1 1 0 1 0 1 0 1 1 1 1 1 1 1 1 0 	 Individuo válido
